,0_kernel_size,0_stride,0_reduction_ratio,tp,tn,fp,fn,sens,spec,acc,mcc,auroc,prec
0,5,1,1,610,651,61,102,85.67415730337079,91.43258426966293,88.55337078651685,0.7723490136676793,94.82289957076125,90.9090909090909
1,6,1,1,611,635,77,101,85.81460674157303,89.18539325842697,87.5,0.7504264460021742,93.72396162100745,88.80813953488372
2,7,1,1,566,667,45,146,79.49438202247191,93.67977528089888,86.58707865168539,0.7392168288544856,93.51032855700039,92.63502454991817
3,8,1,1,616,641,71,96,86.51685393258427,90.02808988764045,88.27247191011236,0.765921727760715,94.58421442999622,89.66521106259097
4,9,1,1,634,640,72,78,89.04494382022472,89.8876404494382,89.46629213483146,0.7893538706877461,95.1580450700669,89.80169971671388
5,10,1,1,581,677,35,131,81.60112359550563,95.08426966292134,88.34269662921348,0.7739209555016174,95.18585879308168,94.31818181818183
6,11,1,1,601,637,75,111,84.41011235955057,89.46629213483146,86.93820224719101,0.7397101828670591,94.2494634515844,88.90532544378699
7,12,1,1,631,609,103,81,88.62359550561798,85.53370786516854,87.07865168539325,0.7419272923247369,94.82842286327482,85.96730245231608
8,13,1,1,604,665,47,108,84.8314606741573,93.39887640449437,89.11516853932584,0.7851903508221696,95.43756312334301,92.78033794162826
9,14,1,1,540,689,23,172,75.84269662921348,96.76966292134831,86.3061797752809,0.7425655036627361,94.58362264865548,95.91474245115454
